date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
2010-08-30,1.31334,1.346,1.30734,1.3246600000000002,10990965,19.8699,0.87,10597641.4
2010-08-31,1.31066,1.31934,1.28866,1.29866,3015180,19.4799,-1.96,9825133.2
2010-09-01,1.308,1.37934,1.3066600000000002,1.36334,7435275,20.4501,4.97,9506330.0
2010-09-02,1.358,1.416,1.35402,1.404,7305900,21.06,2.99,9274340.05
2010-09-03,1.39134,1.42,1.37734,1.40334,6521340,21.0501,-0.05,9043803.55
2010-09-07,1.3739999999999999,1.4,1.36666,1.36934,3650025,20.5401,-2.42,8616812.85
2010-09-08,1.37734,1.39666,1.37334,1.3933399999999998,4325730,20.9001,1.75,7872134.9
2010-09-09,1.4,1.40334,1.37934,1.38066,5642955,20.7099,-0.9,7556045.2
2010-09-10,1.38334,1.39534,1.3173400000000002,1.34466,5798565,20.1699,-2.61,7327512.7
2010-09-13,1.39266,1.3933,1.36666,1.3813399999999998,5410545,20.7201,2.72,7122155.2
2010-09-14,1.36934,1.4400000000000002,1.36866,1.4080000000000001,9819435,21.12,1.93,7248468.7
2010-09-15,1.39866,1.46666,1.386,1.46534,10271370,21.9801,4.07,7426126.45
2010-09-16,1.4766599999999999,1.544,1.38934,1.3960000000000001,40288198,20.94,-4.73,8989537.35
2010-09-17,1.40134,1.42134,1.32,1.34866,17976869,20.2299,-3.39,9454069.3
2010-09-20,1.3780000000000001,1.42334,1.344,1.40366,14212124,21.0549,4.08,9941551.25
2010-09-21,1.39266,1.43666,1.3780000000000001,1.38466,11939999,20.7699,-1.35,9722529.5
2010-09-22,1.39134,1.39666,1.32,1.3246600000000002,14442239,19.8699,-4.33,9939835.95
2010-09-23,1.326,1.34266,1.3,1.3039999999999998,10021140,19.56,-1.56,10063426.2
2010-09-24,1.3299999999999998,1.346,1.3099999999999998,1.34,8684805,20.1,2.76,10172364.45
2010-09-27,1.3599999999999999,1.3873399999999998,1.33666,1.36866,6278955,20.5299,2.14,10201580.7
2010-09-28,1.40266,1.4326599999999998,1.3840000000000001,1.4266599999999998,18216974,21.3999,4.24,10562881.15
2010-09-29,1.41266,1.46866,1.40866,1.46534,29541854,21.9801,2.71,11889214.85
2010-09-30,1.46666,1.4766599999999999,1.346,1.36034,32949374,20.4051,-7.17,13164919.8
2010-10-01,1.37934,1.38334,1.3539999999999999,1.37334,8986065,20.6001,0.96,13248928.05
2010-10-04,1.3619999999999999,1.41134,1.35334,1.39934,9653985,20.9901,1.89,13405560.3
2010-10-05,1.41,1.41866,1.4006599999999998,1.4080000000000001,4979040,21.12,0.62,13472011.05
2010-10-06,1.404,1.4172,1.35466,1.364,4703280,20.46,-3.12,13490888.55
2010-10-07,1.37134,1.3760000000000001,1.3559999999999999,1.3619999999999999,2115300,20.43,-0.15,13314505.8
2010-10-08,1.3619999999999999,1.386,1.35934,1.3619999999999999,4021650,20.43,0.0,13225660.05
2010-10-11,1.36266,1.3799400000000002,1.338,1.3493400000000002,2567910,20.2401,-0.93,13083528.3
2010-10-12,1.34666,1.3522,1.33534,1.3493400000000002,3658680,20.2401,0.0,12775490.55
2010-10-13,1.3760000000000001,1.3900000000000001,1.35734,1.36934,4808115,20.5401,1.48,12502327.8
2010-10-14,1.4,1.4020000000000001,1.3599999999999999,1.38334,4419300,20.7501,1.02,10708882.9
2010-10-15,1.39266,1.3933399999999998,1.35,1.36934,4272600,20.5401,-1.01,10023669.45
2010-10-18,1.3679999999999999,1.3760000000000001,1.3479999999999999,1.34866,2440935,20.2299,-1.5,9435110.0
2010-10-19,1.34666,1.3603999999999998,1.33334,1.33666,3676905,20.0499,-0.89,9021955.3
2010-10-20,1.344,1.37934,1.3359999999999999,1.37666,4686660,20.6499,2.99,8534176.35
2010-10-21,1.3739999999999999,1.39666,1.36334,1.38334,6269985,20.7501,0.48,8346618.6
2010-10-22,1.37866,1.39534,1.37,1.3813399999999998,2415315,20.7201,-0.14,8033144.1
2010-10-25,1.3960000000000001,1.39866,1.3820000000000001,1.3900000000000001,1779210,20.85,0.63,7808156.85
